Make,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year,Total Passengers,Ratio of Uninjured
Edward R. Sugg,1.0,1.0,0.0,0.0,0.0,2018,1.0,0.0
Edward W Gray,1.0,0.0,0.0,0.0,1.0,2013,1.0,1.0
Edwards,2.0,0.0,1.0,0.0,1.0,3990,2.0,0.5
Edwards Douglas L,1.0,1.0,0.0,1.0,0.0,2011,2.0,0.0
Edwin J. Estenson,1.0,0.0,0.0,0.0,2.0,1995,2.0,1.0
Eells,1.0,0.0,0.0,0.0,1.0,2002,1.0,1.0
Efaw,1.0,0.0,1.0,0.0,0.0,2001,1.0,0.0
Eggleston Daniel,1.0,0.0,1.0,0.0,0.0,2018,1.0,0.0
Ehlers,2.0,0.0,1.0,0.0,2.0,3978,3.0,0.6666666666666666
Eiben Theodore,1.0,0.0,0.0,0.0,1.0,2006,1.0,1.0
Eichblatt,1.0,1.0,0.0,0.0,0.0,1992,1.0,0.0
Eichhorn Gary L,1.0,0.0,1.0,0.0,0.0,2016,1.0,0.0
Eichman,1.0,1.0,0.0,0.0,0.0,1997,1.0,0.0
Eickmeier,1.0,0.0,0.0,1.0,0.0,1989,1.0,0.0
Eiland,1.0,0.0,0.0,1.0,1.0,2005,2.0,0.5
Eippen Aircraft,1.0,0.0,0.0,0.0,2.0,1983,2.0,1.0
Eipper,47.0,18.0,21.0,8.0,12.0,91498,59.0,0.2033898305084746
Eipper Formance,1.0,0.0,0.0,2.0,0.0,1983,2.0,0.0
Eipper Formance Inc,1.0,0.0,0.0,0.0,2.0,2014,2.0,1.0
Eipper Mx Ii Quicksilver,1.0,0.0,0.0,2.0,0.0,1982,2.0,0.0
Eipper Quicksilver,1.0,0.0,0.0,2.0,0.0,1983,2.0,0.0
Eipper Quicksiver E,1.0,1.0,0.0,0.0,0.0,1983,1.0,0.0
Eipper-Formance,1.0,0.0,0.0,0.0,2.0,1982,2.0,1.0
Eiriavion Oy,6.0,0.0,3.0,0.0,11.0,27861,14.0,0.7857142857142857
Ekins,1.0,0.0,0.0,0.0,1.0,1993,1.0,1.0
Eklund,1.0,0.0,0.0,1.0,0.0,2006,1.0,0.0
"Ekornaas, Fred",1.0,0.0,1.0,0.0,0.0,2007,1.0,0.0
Ekstrom-Farrington,1.0,0.0,0.0,0.0,1.0,1998,1.0,1.0
Elam,1.0,0.0,0.0,0.0,1.0,1999,1.0,1.0
Elan Glaser Dirks,0.0,0.0,1.0,0.0,0.0,1995,1.0,0.0
Eldredge,2.0,0.0,0.0,0.0,2.0,4013,2.0,1.0
Eldridge George,1.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Elemdorf,1.0,0.0,2.0,0.0,0.0,2014,2.0,0.0
Elkind Bruce,1.0,1.0,0.0,1.0,0.0,2011,2.0,0.0
Elkins,1.0,0.0,0.0,0.0,1.0,2009,1.0,1.0
Ellefson,1.0,0.0,0.0,1.0,0.0,2012,1.0,0.0
Ellenberger/Werner,1.0,2.0,0.0,0.0,0.0,2002,2.0,0.0
Eller,2.0,0.0,1.0,1.0,0.0,3987,2.0,0.0
Elliot,2.0,1.0,0.0,1.0,0.0,3993,2.0,0.0
Elliott,4.0,0.0,0.0,0.0,5.0,7985,5.0,1.0
Elliott Cirrus,1.0,2.0,0.0,0.0,0.0,2007,2.0,0.0
Elliott Quad City Ultralight,1.0,0.0,0.0,1.0,0.0,2005,1.0,0.0
Ellis,3.0,1.0,0.0,1.0,1.0,5974,3.0,0.3333333333333333
Ellsberg,2.0,1.0,0.0,1.0,0.0,4006,2.0,0.0
Ellsworth,2.0,1.0,0.0,1.0,0.0,3992,2.0,0.0
Ellumax Leasing Llc,1.0,0.0,0.0,0.0,2.0,2009,2.0,1.0
Elmwood,2.0,0.0,1.0,1.0,1.0,4038,3.0,0.3333333333333333
Elves,1.0,0.0,0.0,0.0,1.0,1996,1.0,1.0
Elvin Jack R Jr,1.0,0.0,0.0,0.0,1.0,2021,1.0,1.0
Elvin N. Kier,1.0,0.0,0.0,1.0,0.0,1994,1.0,0.0
Ely,2.0,2.0,0.0,0.0,2.0,3996,4.0,0.5
Emair,5.0,0.0,0.0,1.0,4.0,9935,5.0,0.8
Embraer,343.0,434.0,157.0,110.0,6301.0,473861,7002.0,0.8998857469294488
Embraer Aircraft,2.0,10.0,0.0,0.0,0.0,2013,10.0,0.0
Embraer Executive Aircraft Inc,2.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
Embraer S A,14.0,0.0,4.0,4.0,274.0,18160,282.0,0.9716312056737588
Embraer S.A.,2.0,0.0,0.0,1.0,77.0,4026,78.0,0.9871794871794872
Embraer Sa,2.0,0.0,0.0,0.0,12.0,2020,12.0,1.0
Embraer-Empresa Brasileira De,10.0,0.0,0.0,5.0,418.0,12074,423.0,0.9881796690307328
Embree,1.0,0.0,0.0,0.0,1.0,1987,1.0,1.0
Emeraude,1.0,2.0,0.0,0.0,0.0,2012,2.0,0.0
Emerson,1.0,0.0,0.0,0.0,1.0,2017,1.0,1.0
Emery Mark,1.0,0.0,0.0,0.0,2.0,2014,2.0,1.0
Emigh Aircraft,1.0,2.0,0.0,0.0,0.0,2000,2.0,0.0
Emmert,1.0,0.0,2.0,0.0,0.0,1993,2.0,0.0
Emmet Smith,1.0,0.0,0.0,0.0,1.0,2019,1.0,1.0
Emory B. Wood,1.0,1.0,0.0,0.0,0.0,2008,1.0,0.0
"Emory W. Greer, Jr.",1.0,2.0,0.0,0.0,0.0,1993,2.0,0.0
Empson,1.0,0.0,0.0,0.0,1.0,2001,1.0,1.0
Emroth Emair,3.0,1.0,1.0,0.0,1.0,5967,3.0,0.3333333333333333
Emroth-Emair,2.0,0.0,0.0,0.0,2.0,3994,2.0,1.0
Enbody Frank,1.0,1.0,0.0,1.0,0.0,2012,2.0,0.0
Endler Glasair/Glasair 1-Td,1.0,0.0,0.0,0.0,2.0,2017,2.0,1.0
Endless Skies Aviation Inc.,1.0,0.0,0.0,0.0,2.0,2006,2.0,1.0
Engel,1.0,0.0,0.0,0.0,1.0,1985,1.0,1.0
Engineering & Research,20.0,2.0,6.0,2.0,21.0,40206,31.0,0.6774193548387096
Engineering And Research,1.0,2.0,0.0,0.0,0.0,2009,2.0,0.0
Engle David,1.0,0.0,0.0,2.0,0.0,2009,2.0,0.0
Engleman,1.0,0.0,0.0,0.0,1.0,1999,1.0,1.0
English,1.0,0.0,1.0,1.0,0.0,1991,2.0,0.0
English Electric Lightning,0.0,1.0,0.0,0.0,0.0,2009,1.0,0.0
Ensey,1.0,0.0,0.0,1.0,3.0,1996,4.0,0.75
Enstrom,287.0,49.0,51.0,81.0,368.0,589051,549.0,0.6703096539162113
Enstrom Helicopter Corp,7.0,2.0,0.0,1.0,7.0,14096,10.0,0.7
Epig,0.0,3.0,0.0,0.0,0.0,2019,3.0,0.0
Erco,11.0,5.0,2.0,7.0,4.0,21879,18.0,0.2222222222222222
Ercoupe,84.0,18.0,25.0,24.0,62.0,176527,129.0,0.4806201550387597
Ercoupe (Eng & Research Corp.),159.0,42.0,22.0,53.0,129.0,316899,246.0,0.524390243902439
Eric A Munzer,1.0,0.0,0.0,0.0,1.0,2021,1.0,1.0
Erick Magno & Assoc Pa,1.0,0.0,0.0,0.0,1.0,2014,1.0,1.0
Erickson,6.0,1.0,1.0,2.0,4.0,9996,8.0,0.5
Erickson (Glasair),1.0,2.0,0.0,0.0,0.0,2003,2.0,0.0
Erickson Air Crane,2.0,2.0,0.0,1.0,0.0,2013,3.0,0.0
"Erickson Air-Crane, Inc.",2.0,1.0,1.0,1.0,1.0,2005,4.0,0.25
Erickson Larry D,1.0,1.0,0.0,1.0,0.0,2015,2.0,0.0
Erik K. Van Der Kaay,1.0,1.0,0.0,0.0,0.0,1990,1.0,0.0
Eris E. Ervin,1.0,1.0,0.0,0.0,0.0,2017,1.0,0.0
Ernest T Christley,1.0,0.0,0.0,0.0,1.0,2017,1.0,1.0
Ernst,1.0,0.0,2.0,0.0,0.0,2004,2.0,0.0
Eros,1.0,1.0,0.0,0.0,0.0,2016,1.0,0.0
Ertz Mark G,1.0,0.0,0.0,0.0,3.0,2011,3.0,1.0
Ervin,1.0,0.0,2.0,0.0,0.0,2008,2.0,0.0
Ervin Rex H,1.0,0.0,1.0,0.0,2.0,2015,3.0,0.6666666666666666
Erwin,1.0,0.0,0.0,1.0,0.0,1995,1.0,0.0
Esbenshade,1.0,0.0,0.0,0.0,2.0,2001,2.0,1.0
Eskildsen,2.0,1.0,0.0,1.0,0.0,4015,2.0,0.0
Eslinger C W/Eslinger S M,1.0,0.0,1.0,0.0,0.0,2021,1.0,0.0
Espinal,1.0,0.0,0.0,1.0,0.0,2006,1.0,0.0
Esselstyn Chuck,1.0,0.0,0.0,0.0,2.0,2011,2.0,1.0
Eugene Boos,1.0,0.0,1.0,1.0,0.0,1986,2.0,0.0
Eugene Clements,1.0,0.0,0.0,1.0,0.0,1997,1.0,0.0
Eugene Hughes,1.0,0.0,0.0,0.0,1.0,1999,1.0,1.0
Eugene L. Capozzi,1.0,0.0,0.0,0.0,2.0,2000,2.0,1.0
Eugene M. Veras,1.0,0.0,0.0,1.0,0.0,1990,1.0,0.0
Eugene N. Rausch,1.0,1.0,0.0,0.0,0.0,1990,1.0,0.0
Eugene Wells,1.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Eurocopter,217.0,182.0,81.0,90.0,330.0,437983,683.0,0.48316251830161056
Eurocopter Deutsch,1.0,1.0,0.0,0.0,0.0,2009,1.0,0.0
Eurocopter Deutschland,18.0,13.0,4.0,1.0,14.0,20055,32.0,0.4375
Eurocopter Deutschland Gmbh,41.0,9.0,4.0,4.0,54.0,42315,71.0,0.7605633802816901
Eurocopter France,47.0,24.0,6.0,14.0,93.0,90261,137.0,0.6788321167883211
Europa,2.0,0.0,0.0,1.0,1.0,4041,2.0,0.5
Europa Aviation Inc,1.0,0.0,0.0,0.0,2.0,2000,2.0,1.0
Europro Cz,1.0,0.0,2.0,0.0,0.0,2008,2.0,0.0
Evans Aircraft,10.0,2.0,3.0,2.0,4.0,19869,11.0,0.36363636363636365
Evans James Jay,1.0,0.0,0.0,1.0,0.0,2022,1.0,0.0
Evans Robert W Sr,1.0,0.0,0.0,1.0,0.0,2011,1.0,0.0
Evanson,1.0,1.0,0.0,0.0,0.0,1989,1.0,0.0
Evarts Aviation Inc.,1.0,0.0,0.0,0.0,1.0,1998,1.0,1.0
Evektor,1.0,2.0,0.0,0.0,2.0,4029,4.0,0.5
Evektor Aerotechnic,1.0,0.0,0.0,0.0,2.0,2007,2.0,1.0
Evektor Aerotechnik,5.0,2.0,0.0,0.0,4.0,12095,6.0,0.6666666666666666
Evektor Aerotechnik As,1.0,0.0,0.0,0.0,1.0,2008,1.0,1.0
Evektor-Aerotechnik,2.0,0.0,0.0,0.0,3.0,4015,3.0,1.0
Evektor-Aerotechnik A.S.,1.0,2.0,0.0,0.0,0.0,2007,2.0,0.0
Evektor-Aerotechnik As,29.0,2.0,3.0,3.0,34.0,60361,42.0,0.8095238095238095
Evens,1.0,0.0,0.0,0.0,1.0,2011,1.0,1.0
Evenson Roger J,1.0,0.0,0.0,1.0,0.0,2007,1.0,0.0
Everett,2.0,1.0,0.0,0.0,2.0,4010,3.0,0.6666666666666666
Everett Vidrine,1.0,0.0,0.0,2.0,0.0,2004,2.0,0.0
Everson,1.0,0.0,1.0,0.0,0.0,2007,1.0,0.0
Evo13 Llc,1.0,0.0,0.0,0.0,3.0,2015,3.0,1.0
Evolution,3.0,2.0,0.0,0.0,3.0,8066,5.0,0.6
Evolution 19,1.0,2.0,0.0,0.0,0.0,2017,2.0,0.0
Evolution Air Llc,1.0,0.0,3.0,0.0,2.0,2017,5.0,0.4
Evolution Aircraft Inc,9.0,4.0,3.0,2.0,4.0,18158,13.0,0.3076923076923077
Evolution Trikes,5.0,4.0,3.0,0.0,3.0,12086,10.0,0.3
Ewertz,1.0,0.0,0.0,0.0,2.0,1999,2.0,1.0
Excalibur Aircraft,1.0,0.0,0.0,1.0,0.0,2011,1.0,0.0
Excel Jet,1.0,0.0,1.0,1.0,0.0,2006,2.0,0.0
Exp Acft Assn Wi Chapter 60,1.0,0.0,0.0,0.0,1.0,2004,1.0,1.0
Experimental,8.0,3.0,1.0,3.0,4.0,15998,11.0,0.36363636363636365
Experimental Amat Built,1.0,0.0,0.0,0.0,2.0,2015,2.0,1.0
Experimental Amateur Built,1.0,0.0,1.0,0.0,0.0,1984,1.0,0.0
Explorer Aeronautique Inc.,1.0,1.0,0.0,0.0,0.0,2009,1.0,0.0
Explorer Post 51,1.0,0.0,0.0,0.0,1.0,1996,1.0,1.0
Express,2.0,3.0,0.0,0.0,0.0,4042,3.0,0.0
Express Aircraft,1.0,1.0,0.0,0.0,0.0,2007,1.0,0.0
Extra,9.0,14.0,6.0,0.0,6.0,26190,26.0,0.23076923076923078
Extra Flugzeugbau,18.0,13.0,2.0,2.0,6.0,40033,23.0,0.2608695652173913
Extra Flugzeugbau Gmbh,12.0,6.0,2.0,2.0,6.0,24176,16.0,0.375
Extra Flugzeugproduktions-Gmbh,1.0,2.0,0.0,0.0,0.0,2008,2.0,0.0
Extra Flugzeugproduktions-Und,5.0,3.0,0.0,0.0,6.0,10072,9.0,0.6666666666666666
Extra Flugzeugrau Gmbh,1.0,0.0,2.0,0.0,0.0,2004,2.0,0.0
Ezekiel,1.0,0.0,1.0,0.0,0.0,1996,1.0,0.0
Fabre,1.0,0.0,0.0,0.0,1.0,1995,1.0,1.0
Facebook Uk Ltd,4.0,0.0,0.0,0.0,0.0,2016,0.0,
Fagan,2.0,2.0,0.0,0.0,1.0,4015,3.0,0.3333333333333333
Fagerberg,1.0,0.0,0.0,0.0,1.0,1991,1.0,1.0
Fahey William J,1.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
Failing/Rand-Robinson,1.0,1.0,0.0,0.0,0.0,1985,1.0,0.0
Fain,1.0,1.0,0.0,0.0,0.0,1985,1.0,0.0
Fairchild,223.0,142.0,62.0,70.0,1104.0,315426,1378.0,0.8011611030478955
Fairchild Dornier,6.0,0.0,0.0,0.0,106.0,6006,106.0,1.0
Fairchild Funk,1.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Fairchild Heli-Porter,3.0,1.0,1.0,0.0,1.0,6025,3.0,0.3333333333333333
Fairchild Hiller,38.0,30.0,15.0,7.0,86.0,77728,138.0,0.6231884057971014
Fairchild Industries,0.0,0.0,0.0,0.0,12.0,2014,12.0,1.0
Fairchild Merlin,2.0,0.0,0.0,0.0,9.0,2007,9.0,1.0
Fairchild Swearingen,18.0,5.0,2.0,2.0,48.0,21946,57.0,0.8421052631578947
Fairchild(Howard),2.0,0.0,2.0,0.0,2.0,4032,4.0,0.5
Fairchild-Heliporter,1.0,0.0,0.0,0.0,9.0,2004,9.0,1.0
Fairchild/Swearingen,2.0,0.0,0.0,0.0,5.0,1982,5.0,1.0
Fairley Gooch,1.0,1.0,0.0,0.0,0.0,2012,1.0,0.0
Falco,1.0,2.0,0.0,0.0,0.0,1988,2.0,0.0
Falcon Safety Craft Inc,1.0,0.0,1.0,0.0,0.0,2007,1.0,0.0
Falcon Special,1.0,0.0,1.0,0.0,0.0,1988,1.0,0.0
Falen,1.0,1.0,0.0,0.0,0.0,1994,1.0,0.0
Falk,1.0,0.0,1.0,0.0,0.0,2008,1.0,0.0
Falkenthal,1.0,0.0,1.0,0.0,0.0,1982,1.0,0.0
Fall,1.0,0.0,2.0,0.0,0.0,2004,2.0,0.0
Fall Martin,1.0,0.0,0.0,0.0,2.0,2022,2.0,1.0
Fallbeck,1.0,1.0,0.0,0.0,0.0,1995,1.0,0.0
Faltin John R,1.0,0.0,1.0,0.0,0.0,2012,1.0,0.0
Fantasy Air,4.0,1.0,0.0,0.0,4.0,8045,5.0,0.8
Fantasy Air Sro,5.0,0.0,0.0,2.0,4.0,10057,6.0,0.6666666666666666
Fantasy Sky Promotions,0.0,0.0,2.0,0.0,0.0,1995,2.0,0.0
Farace Thomas Scott,1.0,0.0,0.0,2.0,0.0,2014,2.0,0.0
Farhat,1.0,2.0,0.0,0.0,0.0,1996,2.0,0.0
Farland,1.0,1.0,0.0,0.0,0.0,1996,1.0,0.0
Farmer R B,1.0,0.0,1.0,0.0,0.0,2003,1.0,0.0
Farrand,1.0,0.0,0.0,0.0,1.0,2002,1.0,1.0
Farrell,1.0,0.0,0.0,0.0,2.0,2004,2.0,1.0
Farrington,2.0,1.0,0.0,0.0,1.0,3981,2.0,0.5
Farthing James W Ii,1.0,0.0,0.0,1.0,0.0,2014,1.0,0.0
Faunce,1.0,0.0,0.0,0.0,1.0,2015,1.0,1.0
Fawcett,1.0,0.0,0.0,0.0,2.0,1993,2.0,1.0
Fay,1.0,0.0,1.0,0.0,0.0,2002,1.0,0.0
Fdr601 Llc,1.0,0.0,0.0,0.0,2.0,2014,2.0,1.0
Featherston,1.0,1.0,0.0,0.0,0.0,1993,1.0,0.0
Fechtner,1.0,0.0,0.0,1.0,0.0,2012,1.0,0.0
Federsen Walter,1.0,2.0,0.0,0.0,0.0,2014,2.0,0.0
Fehlner-Shelton,1.0,0.0,1.0,0.0,0.0,2011,1.0,0.0
Feil,1.0,1.0,0.0,0.0,0.0,1989,1.0,0.0
Fennell,1.0,0.0,0.0,1.0,0.0,1998,1.0,0.0
Fenton,1.0,0.0,0.0,0.0,2.0,2011,2.0,1.0
Feraca Edward M,1.0,1.0,0.0,0.0,0.0,2021,1.0,0.0
Ferdon,2.0,0.0,0.0,2.0,1.0,4007,3.0,0.3333333333333333
Ference,1.0,0.0,0.0,1.0,0.0,2003,1.0,0.0
Ference John W,1.0,0.0,1.0,0.0,0.0,2015,1.0,0.0
Ferguson,4.0,2.0,1.0,0.0,1.0,5993,4.0,0.25
Ferguson Aircraft,1.0,0.0,0.0,2.0,0.0,2011,2.0,0.0
Ferguson William C,1.0,0.0,0.0,0.0,2.0,2010,2.0,1.0
Ferkin,1.0,0.0,0.0,0.0,1.0,2011,1.0,1.0
Fernandes Dale R,1.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
Fernandez,1.0,0.0,1.0,0.0,0.0,1996,1.0,0.0
Ferran,1.0,1.0,0.0,0.0,0.0,1993,1.0,0.0
Ferree,1.0,0.0,0.0,0.0,1.0,2008,1.0,1.0
Ferrie,1.0,0.0,0.0,0.0,2.0,1993,2.0,1.0
Ferris,1.0,0.0,0.0,1.0,1.0,1988,2.0,0.5
Fessenden Alfred,1.0,0.0,0.0,0.0,2.0,2011,2.0,1.0
Fetherolf,3.0,0.0,0.0,0.0,3.0,6013,3.0,1.0
Fetterman Lanny R,1.0,0.0,0.0,0.0,1.0,2013,1.0,1.0
Fiebich Paul Dean,0.0,0.0,1.0,0.0,0.0,2015,1.0,0.0
Field,1.0,0.0,0.0,0.0,1.0,1995,1.0,1.0
Fields,3.0,1.0,1.0,1.0,0.0,6004,3.0,0.0
Fields Mike,1.0,0.0,0.0,1.0,0.0,2012,1.0,0.0
Fieseler Flugzeugbau,1.0,0.0,0.0,0.0,2.0,1998,2.0,1.0
Fife,1.0,0.0,0.0,0.0,1.0,1998,1.0,1.0
Fighter Escort Wings Ltd,1.0,0.0,0.0,0.0,1.0,1994,1.0,1.0
Fighter Rebuilders,1.0,0.0,1.0,0.0,0.0,1994,1.0,0.0
Finamore,1.0,0.0,0.0,1.0,0.0,1983,1.0,0.0
Fingerhut Revolution,1.0,0.0,0.0,0.0,1.0,1997,1.0,1.0
"Fink, Charles H.",1.0,0.0,0.0,1.0,0.0,1991,1.0,0.0
Finke,1.0,1.0,0.0,0.0,0.0,2004,1.0,0.0
Finn A. Arnold,1.0,0.0,0.0,0.0,1.0,1990,1.0,1.0
Finney Thorp,2.0,2.0,0.0,0.0,1.0,4016,3.0,0.3333333333333333
Firefly,0.0,1.0,0.0,0.0,0.0,2004,1.0,0.0
Firefly Balloons,0.0,0.0,2.0,6.0,3.0,2003,11.0,0.2727272727272727
Firm,1.0,0.0,0.0,0.0,1.0,2002,1.0,1.0
First Strike,1.0,1.0,0.0,0.0,0.0,1995,1.0,0.0
Fischer,3.0,1.0,1.0,1.0,0.0,6001,3.0,0.0
Fish,2.0,0.0,2.0,0.0,2.0,4007,4.0,0.5
Fisher,10.0,3.0,2.0,2.0,6.0,20056,13.0,0.46153846153846156
Fisher Aero,1.0,0.0,0.0,0.0,1.0,2007,1.0,1.0
Fisher Flying Products,3.0,0.0,0.0,0.0,3.0,6028,3.0,1.0
Fisher Harold R,1.0,0.0,0.0,0.0,2.0,2012,2.0,1.0
Fisher Michael E,2.0,1.0,0.0,1.0,0.0,4024,2.0,0.0
Fisher Michael H,1.0,0.0,1.0,1.0,0.0,2009,2.0,0.0
Fithian,1.0,0.0,1.0,1.0,0.0,1998,2.0,0.0
Fitt,1.0,0.0,2.0,0.0,0.0,2007,2.0,0.0
Fk Lightplanes,1.0,0.0,0.0,0.0,2.0,2014,2.0,1.0
Flagg,4.0,2.0,0.0,0.0,2.0,7965,4.0,0.5
Flaglor,1.0,0.0,0.0,0.0,2.0,2006,2.0,1.0
Flaglor Tom,1.0,0.0,1.0,0.0,0.0,2011,1.0,0.0
Flaherty,1.0,0.0,0.0,0.0,2.0,1999,2.0,1.0
Flake,1.0,2.0,0.0,0.0,0.0,1993,2.0,0.0
Fleet,17.0,3.0,2.0,3.0,19.0,34027,27.0,0.7037037037037037
Fleetwood Jack,1.0,0.0,0.0,0.0,1.0,2017,1.0,1.0
Fleming,1.0,1.0,0.0,0.0,0.0,1996,1.0,0.0
Fleming Eldridge E,1.0,0.0,0.0,1.0,0.0,2013,1.0,0.0
Fletcher,1.0,1.0,0.0,0.0,0.0,1989,1.0,0.0
Flight Design,25.0,3.0,12.0,5.0,25.0,58383,45.0,0.5555555555555556
Flight Design General Avn Gmbh,1.0,0.0,1.0,1.0,0.0,2022,2.0,0.0
Flight Design Gmbh,48.0,7.0,20.0,6.0,40.0,100648,73.0,0.547945205479452
Flight Design Usa,1.0,0.0,0.0,2.0,0.0,2007,2.0,0.0
Flight Star,1.0,0.0,0.0,0.0,2.0,1996,2.0,1.0
Flight Works Capella,1.0,0.0,0.0,1.0,0.0,1992,1.0,0.0
Flightstar,4.0,0.0,4.0,1.0,2.0,10064,7.0,0.2857142857142857
Flightstar Inc,3.0,0.0,1.0,2.0,2.0,6055,5.0,0.4
Flightstar Sportplanes,2.0,0.0,4.0,0.0,0.0,4032,4.0,0.0
Flightworks Corp,1.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Flitecraft,1.0,2.0,0.0,0.0,0.0,1982,2.0,0.0
Floback,1.0,1.0,0.0,0.0,0.0,2001,1.0,0.0
Flohr David J,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Floroski,1.0,0.0,1.0,0.0,0.0,2000,1.0,0.0
Flournoy Martin R,1.0,0.0,0.0,0.0,1.0,2011,1.0,1.0
Flower Roger P,1.0,1.0,0.0,0.0,0.0,2012,1.0,0.0
Floyd,1.0,2.0,0.0,0.0,0.0,1995,2.0,0.0
Floyd Joseph B,1.0,0.0,0.0,0.0,2.0,2011,2.0,1.0
Floyd R.Harris,1.0,0.0,0.0,0.0,2.0,1986,2.0,1.0
Flug-Und Fahrzeugwerke (Ffa),0.0,0.0,1.0,0.0,1.0,3972,2.0,0.5
Flugzeugbau,1.0,0.0,0.0,1.0,3.0,4002,4.0,0.75
Flugzeugproduktions-Und Vertri,1.0,2.0,0.0,0.0,0.0,2017,2.0,0.0
Flurry,1.0,0.0,0.0,0.0,2.0,2000,2.0,1.0
Fly Baby,1.0,0.0,0.0,0.0,1.0,1986,1.0,1.0
Fly By Sea Co,1.0,0.0,0.0,0.0,1.0,2007,1.0,1.0
Fly Hard Trike Inc,1.0,0.0,0.0,1.0,0.0,2012,1.0,0.0
Flying K Enterprises,1.0,0.0,0.0,1.0,0.0,2021,1.0,0.0
Flynn Van,1.0,0.0,1.0,1.0,0.0,2008,2.0,0.0
Flynn William,1.0,1.0,0.0,0.0,0.0,2006,1.0,0.0
Fobes,1.0,0.0,0.0,1.0,0.0,2001,1.0,0.0
Focke-Wulf,4.0,2.0,3.0,0.0,2.0,8013,7.0,0.2857142857142857
Fogarty Pitts,1.0,0.0,0.0,0.0,1.0,1990,1.0,1.0
Fogerson Richard D,1.0,0.0,0.0,0.0,2.0,2000,2.0,1.0
Fogg,1.0,0.0,0.0,0.0,2.0,2014,2.0,1.0
Foglio,1.0,0.0,0.0,0.0,1.0,2009,1.0,1.0
Fokker,89.0,221.0,89.0,62.0,2423.0,127914,2795.0,0.8669051878354204
Foley James,1.0,0.0,0.0,0.0,2.0,2007,2.0,1.0
Folke Wulf,1.0,1.0,0.0,0.0,0.0,1984,1.0,0.0
Folland,2.0,3.0,0.0,0.0,0.0,3981,3.0,0.0
Folland Aircraft Co Ltd,1.0,1.0,0.0,0.0,0.0,2013,1.0,0.0
Follmer,1.0,0.0,0.0,1.0,0.0,2000,1.0,0.0
Folsom,1.0,0.0,0.0,0.0,1.0,1986,1.0,1.0
Fones,1.0,0.0,0.0,0.0,1.0,1998,1.0,1.0
Fonville,1.0,0.0,0.0,1.0,1.0,2021,2.0,0.5
Foote,1.0,0.0,1.0,0.0,0.0,1994,1.0,0.0
Forbes,1.0,0.0,0.0,0.0,1.0,2005,1.0,1.0
Forbes-Wolfram Special,1.0,0.0,0.0,0.0,1.0,1986,1.0,1.0
Forbing,1.0,0.0,0.0,2.0,0.0,1990,2.0,0.0
Ford,1.0,0.0,0.0,0.0,1.0,1997,1.0,1.0
Ford Stephen L,1.0,0.0,0.0,0.0,1.0,2020,1.0,1.0
Foreit,1.0,1.0,0.0,0.0,0.0,1998,1.0,0.0
Forest Ripley,1.0,0.0,1.0,0.0,0.0,1993,1.0,0.0
Forisch Edward,1.0,0.0,0.0,0.0,2.0,2021,2.0,1.0
Formhals,1.0,0.0,2.0,1.0,0.0,2007,3.0,0.0
Fornaire,1.0,0.0,0.0,0.0,1.0,1984,1.0,1.0
Forney,17.0,5.0,2.0,3.0,16.0,33889,26.0,0.6153846153846154
Forrest Haynes,1.0,0.0,0.0,2.0,0.0,2005,2.0,0.0
Forster,1.0,0.0,0.0,0.0,1.0,2009,1.0,1.0
Forth,1.0,0.0,0.0,1.0,0.0,1996,1.0,0.0
Fortuna,1.0,0.0,0.0,0.0,1.0,2007,1.0,1.0
Fortuna Dave,1.0,1.0,0.0,0.0,0.0,2014,1.0,0.0
Foster,1.0,1.0,0.0,0.0,0.0,1982,1.0,0.0
Foster John,1.0,1.0,0.0,0.0,0.0,2010,1.0,0.0
Foster William D,1.0,0.0,0.0,0.0,2.0,2022,2.0,1.0
Foster/Hilsman,1.0,2.0,0.0,0.0,0.0,1998,2.0,0.0
Fouga,10.0,4.0,0.0,0.0,4.0,10008,8.0,0.5
Foulke,1.0,0.0,0.0,0.0,2.0,2000,2.0,1.0
Found Acft,1.0,0.0,0.0,2.0,2.0,2007,4.0,0.5
Found Acft Canada Inc,3.0,0.0,3.0,0.0,6.0,8064,9.0,0.6666666666666666
Found Aircraft Canada,1.0,0.0,0.0,0.0,2.0,2007,2.0,1.0
Found Aircraft Canada Inc,2.0,0.0,0.0,0.0,6.0,4014,6.0,1.0
Four Seasons Aviations,1.0,0.0,0.0,1.0,1.0,1984,2.0,0.5
Fowler,2.0,0.0,0.0,1.0,1.0,4008,2.0,0.5
Fox,1.0,0.0,0.0,0.0,1.0,2001,1.0,1.0
Fox Aircraft Corp.,1.0,1.0,0.0,0.0,0.0,1995,1.0,0.0
Fox Al,1.0,0.0,0.0,0.0,2.0,2016,2.0,1.0
Fox Alfred C.,1.0,0.0,1.0,0.0,0.0,2005,1.0,0.0
