Make,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year,Total Passengers,Ratio of Uninjured
Walters,2.0,0.0,1.0,1.0,1.0,4015,3.0,0.3333333333333333
Waltman Theodore J,1.0,0.0,0.0,0.0,4.0,2011,4.0,1.0
Walton,3.0,2.0,1.0,0.0,1.0,5991,4.0,0.25
Walton Daniel J,1.0,0.0,0.0,1.0,0.0,2020,1.0,0.0
Waltz,2.0,0.0,0.0,0.0,3.0,4009,3.0,1.0
Wampach,1.0,0.0,0.0,0.0,2.0,2013,2.0,1.0
Wampole,1.0,1.0,0.0,0.0,0.0,2007,1.0,0.0
War Replicas,1.0,1.0,0.0,0.0,0.0,1989,1.0,0.0
Ward,6.0,2.0,2.0,1.0,2.0,11959,7.0,0.2857142857142857
Ward Christopher Barry,1.0,0.0,0.0,0.0,2.0,2017,2.0,1.0
Ward Rc,1.0,0.0,0.0,0.0,3.0,2007,3.0,1.0
Ware Jerry L,1.0,0.0,0.0,0.0,2.0,2021,2.0,1.0
Ware Teenie,1.0,0.0,1.0,0.0,0.0,1983,1.0,0.0
Warfield,1.0,0.0,0.0,1.0,0.0,1992,1.0,0.0
Warkentin,1.0,0.0,0.0,1.0,0.0,1990,1.0,0.0
Warner Aerocraft,1.0,0.0,0.0,1.0,0.0,2019,1.0,0.0
Warner Lewis,1.0,0.0,0.0,0.0,2.0,2009,2.0,1.0
"Warner, David B.",1.0,1.0,0.0,0.0,0.0,1991,1.0,0.0
Warnke,1.0,0.0,1.0,0.0,0.0,1987,1.0,0.0
Warren-Thomas,1.0,1.0,0.0,0.0,0.0,1992,1.0,0.0
Warren/Keleher/Lark,1.0,0.0,0.0,0.0,1.0,1989,1.0,1.0
Warrington,1.0,0.0,1.0,0.0,0.0,2000,1.0,0.0
Warth Dennis J,1.0,1.0,0.0,0.0,0.0,2010,1.0,0.0
Warwick,1.0,0.0,1.0,1.0,0.0,1989,2.0,0.0
Waspair,3.0,0.0,3.0,0.0,0.0,5949,3.0,0.0
Waspair Tomcat,1.0,1.0,0.0,0.0,0.0,1983,1.0,0.0
Wasson Loehle,1.0,0.0,0.0,1.0,0.0,2008,1.0,0.0
